,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,0,3188,Bella Vista Way,Bella Vista,AR,72714,3188 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
1,1,3190,Bella Vista Way,Bella Vista,AR,72714,3190 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
2,2,3210,Bella Vista Way,Bella Vista,AR,72714,3210 Bella Vista Way Bella Vista AR,,,http://www.zillow.com/homes/comps/2139446278_zpid/,,http://www.zillow.com/homedetails/3210-Bella-Vista-Way-Bella-Vista-AR-72714/2139446278_zpid/,,,,http://www.zillow.com/homes/2139446278_zpid/,,91980.0,64635.0,2009.0,82865.0
3,3,3401,Bella Vista Way,Bella Vista,AR,72714,3401 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
4,4,3403,Bella Vista Way,Bella Vista,AR,72714,3403 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
5,5,3404,Bella Vista Way,Bella Vista,AR,72714,3404 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
6,6,3405,Bella Vista Way,Bella Vista,AR,72714,3405 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
7,7,3406,Bella Vista Way,Bella Vista,AR,72714,3406 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
8,8,3407,Bella Vista Way,Bella Vista,AR,72714,3407 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
9,9,3463,Bella Vista Way,Bella Vista,AR,72714,3463 Bella Vista Way Bella Vista AR,,,http://www.zillow.com/homes/comps/2127170917_zpid/,,http://www.zillow.com/homedetails/3463-Bella-Vista-Way-Bella-Vista-AR-72714/2127170917_zpid/,,,14374.0,http://www.zillow.com/homes/2127170917_zpid/,,,,,
10,10,3465,Bella Vista Way,Bella Vista,AR,72714,3465 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
11,11,3499,Bella Vista Way,Bella Vista,AR,72714,3499 Bella Vista Way Bella Vista AR,,,,,,,,,,,,,,
12,12,10,Birch Trl,Bella Vista,AR,72714,10 Birch Trl Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/94645996_zpid/,http://www.zillow.com/homedetails/10-Birch-Trl-Bella-Vista-AR/94645996_zpid/#charts-and-data,http://www.zillow.com/homedetails/10-Birch-Trl-Bella-Vista-AR/94645996_zpid/,,,14810.0,http://www.zillow.com/homes/94645996_zpid/,648.0,81161.0,52899.0,,72465.0
13,13,2,Blowing Springs Rd,Bella Vista,AR,72714,2 Blowing Springs Rd Bella Vista AR,,,http://www.zillow.com/homes/comps/94646023_zpid/,http://www.zillow.com/homedetails/2-Blowing-Springs-Rd-Bella-Vista-AR-72714/94646023_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Blowing-Springs-Rd-Bella-Vista-AR-72714/94646023_zpid/,,,800197.0,http://www.zillow.com/homes/94646023_zpid/,,240906.0,186247.0,,202442.0
14,14,651,Blowing Springs Rd,Bella Vista,AR,72714,651 Blowing Springs Rd Bella Vista AR,,,,,,,,,,,,,,
15,15,9549,Cedar Crest Dr,Bella Vista,AR,72714,9549 Cedar Crest Dr Bella Vista AR,2.0,3.0,http://www.zillow.com/homes/comps/70642931_zpid/,http://www.zillow.com/homedetails/9549-Cedar-Crest-Dr-Bella-Vista-AR-72714/70642931_zpid/#charts-and-data,http://www.zillow.com/homedetails/9549-Cedar-Crest-Dr-Bella-Vista-AR-72714/70642931_zpid/,03/11/2015,110000.0,18730.0,http://www.zillow.com/homes/70642931_zpid/,1590.0,145192.0,131364.0,1995.0,138278.0
16,16,9597,Cedar Crest Dr,Bella Vista,AR,72714,9597 Cedar Crest Dr Bella Vista AR,1.0,,http://www.zillow.com/homes/comps/70662285_zpid/,http://www.zillow.com/homedetails/9597-Cedar-Crest-Dr-Bella-Vista-AR-72714/70662285_zpid/#charts-and-data,http://www.zillow.com/homedetails/9597-Cedar-Crest-Dr-Bella-Vista-AR-72714/70662285_zpid/,07/13/2005,56000.0,30056.0,http://www.zillow.com/homes/70662285_zpid/,612.0,74866.0,45052.0,1996.0,66253.0
17,17,9620,Cedar Crest Dr,Bella Vista,AR,72714,9620 Cedar Crest Dr Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70675352_zpid/,http://www.zillow.com/homedetails/9620-Cedar-Crest-Dr-Bella-Vista-AR-72714/70675352_zpid/#charts-and-data,http://www.zillow.com/homedetails/9620-Cedar-Crest-Dr-Bella-Vista-AR-72714/70675352_zpid/,03/17/2008,95000.0,13068.0,http://www.zillow.com/homes/70675352_zpid/,1056.0,,,,
18,18,9743,Cedar Crest Dr,Bella Vista,AR,72714,9743 Cedar Crest Dr Bella Vista AR,,,http://www.zillow.com/homes/comps/114447669_zpid/,http://www.zillow.com/homedetails/9743-Cedar-Crest-Dr-Bella-Vista-AR-72714/114447669_zpid/#charts-and-data,http://www.zillow.com/homedetails/9743-Cedar-Crest-Dr-Bella-Vista-AR-72714/114447669_zpid/,,,6534.0,http://www.zillow.com/homes/114447669_zpid/,,125395.0,108676.0,,119424.0
19,19,9749,Cedar Crest Dr,Bella Vista,AR,72714,9749 Cedar Crest Dr Bella Vista AR,,,http://www.zillow.com/homes/comps/94647014_zpid/,http://www.zillow.com/homedetails/9749-Cedar-Crest-Dr-Bella-Vista-AR-72714/94647014_zpid/#charts-and-data,http://www.zillow.com/homedetails/9749-Cedar-Crest-Dr-Bella-Vista-AR-72714/94647014_zpid/,07/16/2015,15650.0,13068.0,http://www.zillow.com/homes/94647014_zpid/,,131133.0,117396.0,,124889.0
20,20,13454,Cedar Crest Spur,Bella Vista,AR,72714,13454 Cedar Crest Spur Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/94650008_zpid/,http://www.zillow.com/homedetails/13454-Cedar-Crest-Spur-Bella-Vista-AR-72714/94650008_zpid/#charts-and-data,http://www.zillow.com/homedetails/13454-Cedar-Crest-Spur-Bella-Vista-AR-72714/94650008_zpid/,06/05/2007,69000.0,9583.0,http://www.zillow.com/homes/94650008_zpid/,940.0,93882.0,76497.0,,86928.0
21,21,13462,Cedar Crest Spur,Bella Vista,AR,72714,13462 Cedar Crest Spur Bella Vista AR,,,,,,,,,,,,,,
22,22,13480,Cedar Crest Spur,Bella Vista,AR,72714,13480 Cedar Crest Spur Bella Vista AR,1.0,,http://www.zillow.com/homes/comps/70628754_zpid/,http://www.zillow.com/homedetails/13480-Cedar-Crest-Spur-Bella-Vista-AR-72714/70628754_zpid/#charts-and-data,http://www.zillow.com/homedetails/13480-Cedar-Crest-Spur-Bella-Vista-AR-72714/70628754_zpid/,10/23/2001,1000.0,5227.0,http://www.zillow.com/homes/70628754_zpid/,600.0,76101.0,44611.0,,65604.0
